|,ITEM_ID,COUNTRY,lat,lon,SEVERITY_CODE,MONTH,YEAR,dummy_date,baa,Confusion matrix,Cases
107,107,Comoros,-12.83333333,45.21666667,3,5,1986,1-5-1986,1,FN,4
108,108,Japan,26.5,128,3,6,1986,1-6-1986,nan,TP,1
109,109,Barbados,13.0391,-59.5231,2,7,1986,1-7-1986,0,FN,4
111,111,United States,21.28106232,-157.9250076,3,8,1986,1-8-1986,0,FN,4
112,112,United States,18.38333333,-154.6333333,3,8,1986,1-8-1986,1,FN,4
113,113,Jamaica,18.4722,-77.4095,2,10,1986,1-10-1986,0,FN,4
129,129,United States,24.60913,-81.40205,2,7,1987,1-7-1987,0,FN,4
130,130,United States,24.54,-81.833,2,7,1987,1-7-1987,0,FN,4
131,131,United States,25.15,-80.28333333,3,7,1987,1-7-1987,0,FN,4
135,135,Colombia,10.137,-75.743,1,8,1987,1-8-1987,2,TN,2
136,136,Costa Rica,8.7333,-83.8833,3,8,1987,1-8-1987,1,FN,4
139,139,United States,25.393,-80.168,1,8,1987,1-8-1987,2,TN,2
140,140,United States,25,-80.372,2,8,1987,1-8-1987,2,FN,4
143,143,Bahamas,24.566,-75.93333333,2,9,1987,1-9-1987,1,FN,4
144,144,Bahamas,23.745,-76.081,2,9,1987,1-9-1987,1,FN,4
145,145,Bahamas,23.74,-76.066,2,9,1987,1-9-1987,1,FN,4
149,149,Jamaica,18.4794,-77.3287,3,9,1987,1-9-1987,2,FN,4
156,156,U.S. Virgin Islands,17.684,-64.739,2,9,1987,1-9-1987,2,FN,4
160,160,Bahamas,23.78,-76.13,2,10,1987,1-10-1987,2,FN,4
161,161,Bahamas,23.77625,-76.09818,2,10,1987,1-10-1987,2,FN,4
162,162,Bahamas,23.77625,-76.09818,2,10,1987,1-10-1987,2,FN,4
163,163,Colombia,11.3,-71.193,1,10,1987,1-10-1987,3,FP,3
164,164,Colombia,11.249,-71.218,1,10,1987,1-10-1987,2,TN,2
165,165,Mexico,23.33333333,-109.4166667,1,10,1987,1-10-1987,3,FP,3
170,170,Panama,9.55,-78.87,1,11,1987,1-11-1987,1,TN,2
172,172,Venezuela,10.53106232,-66.07500763,2,11,1987,1-11-1987,2,FN,4
173,173,Venezuela,10.781,-68.311,2,11,1987,1-11-1987,1,FN,4
175,175,Venezuela,10.81,-68.14,2,12,1987,1-12-1987,2,FN,4
176,176,Venezuela,10.85,-68.21,2,12,1987,1-12-1987,2,FN,4
234,234,Bahamas,23.745,-76.081,2,1,1988,1-1-1988,0,FN,4
235,235,Bahamas,23.7965,-76.1465,2,1,1988,1-1-1988,0,FN,4
237,237,Honduras,16.07,-86.98,3,1,1988,1-1-1988,0,FN,4
238,238,Honduras,16.29,-86.6,3,1,1988,1-1-1988,0,FN,4
239,239,U.S. Virgin Islands,17.684,-64.739,2,1,1988,1-1-1988,0,FN,4
240,240,United States,25.393,-80.168,1,2,1988,1-2-1988,0,TN,2
241,241,United States,25,-80.372,2,2,1988,1-2-1988,0,FN,4
